mean=262.46, min=2.00, max=687.00
mean=275.26, min=22.00, max=689.00
mean=281.48, min=22.00, max=729.00
mean=275.75, min=5.00, max=779.00
mean=273.88, min=22.00, max=649.00
mean=278.62, min=22.00, max=779.00
mean=270.59, min=22.00, max=809.00
mean=284.21, min=12.00, max=781.00
mean=276.06, min=22.00, max=757.00
mean=273.92, min=22.00, max=719.00
mean=272.90, min=22.00, max=631.00
mean=282.72, min=22.00, max=720.00
mean=272.86, min=22.00, max=709.00
mean=278.25, min=22.00, max=839.00
mean=260.53, min=22.00, max=659.00
mean=263.58, min=18.00, max=669.00
mean=275.75, min=22.00, max=670.00
mean=280.90, min=23.00, max=792.00
mean=276.35, min=27.00, max=796.00
mean=268.12, min=6.00, max=691.00
mean=279.52, min=5.00, max=837.00
mean=269.05, min=22.00, max=819.00
mean=269.64, min=2.00, max=752.00
mean=273.88, min=22.00, max=819.00
mean=273.73, min=22.00, max=799.00
mean=270.57, min=22.00, max=652.00
mean=280.68, min=22.00, max=689.00
mean=276.13, min=16.00, max=759.00
mean=276.30, min=4.00, max=701.00
mean=260.61, min=22.00, max=725.00
mean=270.34, min=14.00, max=715.00
mean=268.23, min=23.00, max=673.00
mean=277.35, min=22.00, max=790.00
mean=277.07, min=22.00, max=799.00
mean=272.91, min=22.00, max=750.00
mean=286.96, min=21.00, max=709.00
mean=276.68, min=7.00, max=739.00
mean=280.13, min=22.00, max=779.00
mean=276.90, min=11.00, max=771.00
mean=272.13, min=22.00, max=739.00
mean=274.39, min=22.00, max=727.00
mean=275.38, min=11.00, max=829.00
mean=281.82, min=22.00, max=719.00
mean=275.24, min=22.00, max=779.00
mean=282.65, min=9.00, max=691.00
mean=276.57, min=22.00, max=755.00
mean=267.73, min=11.00, max=807.00
mean=277.71, min=16.00, max=909.00
mean=262.99, min=22.00, max=719.00
mean=269.92, min=22.00, max=828.00
mean=281.32, min=3.00, max=751.00
mean=273.20, min=22.00, max=629.00
mean=278.31, min=21.00, max=820.00
mean=276.88, min=3.00, max=808.00
mean=279.63, min=22.00, max=783.00
mean=271.91, min=22.00, max=739.00
mean=285.19, min=23.00, max=849.00
mean=275.06, min=22.00, max=683.00
mean=267.17, min=22.00, max=835.00
mean=277.22, min=12.00, max=679.00
mean=273.38, min=22.00, max=679.00
mean=278.89, min=22.00, max=689.00
mean=282.15, min=22.00, max=857.00
mean=274.75, min=15.00, max=710.00
mean=273.95, min=22.00, max=679.00
mean=280.68, min=21.00, max=783.00
mean=274.19, min=9.00, max=659.00
mean=278.48, min=23.00, max=719.00
mean=278.01, min=22.00, max=769.00
mean=291.36, min=24.00, max=709.00
mean=276.41, min=23.00, max=681.00
mean=264.13, min=22.00, max=787.00
mean=272.50, min=22.00, max=801.00
mean=269.00, min=22.00, max=725.00
mean=277.83, min=3.00, max=719.00
mean=287.60, min=22.00, max=799.00
mean=280.71, min=22.00, max=729.00
mean=283.59, min=13.00, max=699.00
mean=283.79, min=24.00, max=709.00
mean=277.56, min=11.00, max=823.00
mean=279.38, min=9.00, max=877.00
mean=277.52, min=22.00, max=797.00
mean=281.60, min=23.00, max=929.00
mean=290.47, min=9.00, max=728.00
mean=282.20, min=27.00, max=655.00
mean=288.56, min=23.00, max=761.00
mean=276.19, min=27.00, max=717.00
mean=285.05, min=22.00, max=791.00
mean=289.05, min=22.00, max=719.00
mean=284.52, min=22.00, max=799.00
mean=273.38, min=22.00, max=669.00
mean=284.26, min=13.00, max=743.00
mean=280.20, min=22.00, max=845.00
mean=278.81, min=28.00, max=657.00
mean=280.87, min=4.00, max=641.00
mean=278.93, min=22.00, max=897.00
mean=282.24, min=7.00, max=741.00
mean=276.85, min=4.00, max=807.00
mean=282.71, min=31.00, max=699.00
mean=270.40, min=5.00, max=749.00
mean=272.26, min=6.00, max=721.00
mean=288.45, min=6.00, max=749.00
mean=285.61, min=22.00, max=739.00
mean=286.49, min=22.00, max=749.00
mean=286.05, min=7.00, max=789.00
mean=283.08, min=11.00, max=691.00
mean=283.41, min=22.00, max=699.00
mean=292.89, min=22.00, max=706.00
mean=284.96, min=22.00, max=745.00
mean=286.94, min=25.00, max=773.00
mean=292.39, min=23.00, max=699.00
mean=290.05, min=9.00, max=661.00
mean=292.02, min=15.00, max=731.00
mean=285.78, min=22.00, max=717.00
mean=281.68, min=8.00, max=671.00
mean=288.72, min=23.00, max=686.00
mean=293.44, min=25.00, max=709.00
mean=283.88, min=21.00, max=859.00
mean=285.60, min=22.00, max=679.00
mean=283.62, min=23.00, max=779.00
mean=295.62, min=22.00, max=799.00
mean=285.88, min=19.00, max=749.00
mean=294.09, min=14.00, max=681.00
mean=273.24, min=5.00, max=799.00
mean=285.39, min=22.00, max=650.00
mean=273.80, min=23.00, max=721.00
mean=287.68, min=22.00, max=722.00
mean=285.21, min=22.00, max=669.00
mean=285.05, min=22.00, max=870.00
mean=281.58, min=24.00, max=848.00
mean=280.35, min=22.00, max=649.00
mean=284.12, min=22.00, max=808.00
mean=287.39, min=6.00, max=789.00
mean=287.42, min=26.00, max=669.00
mean=274.90, min=23.00, max=682.00
mean=278.31, min=24.00, max=636.00
mean=281.47, min=23.00, max=725.00
mean=276.07, min=8.00, max=635.00
mean=273.29, min=22.00, max=649.00
mean=295.86, min=14.00, max=800.00
